Example No.,TR-FRET (GDP) IC50 (nM),pERK IC50 (nM),SPR Keq (nM),SMILES,Image from Patent,Structure,curated IUPAC,IUPAC salt free,salt,stereo comment,Smiles (2),Smiles (Canonical),calculated mass,MS Info (patent),molweight (patent),diff molweight,SPR Keq (nM) (NX),TR-FRET (GDP) IC50 (nM) (NX),pERK IC50 (NX),R1,R2,R3,R4,Core of [Smiles (2)] for [Ad-hoc query] in [Ad-hoc list],rdkit:TPSA,status,comment,FG Status,Details,FG Comment,Prediction Status,Prob(<= 3 cm-6/s),LE-MDCK Classification,status (2),comment (2),FG Status (2),Details (2),FG Comment (2),Prediction Status (2),Prob(<= -5 cm/s),PAMPA Classification,status (3),comment (3),FG Status (3),Details (3),Prob(<= 10 uM),FG Comment (3),Prediction Status (3),pH6.8 HT Solubility Classification,status (4),comment (4),FG Status (4),Details (4),FG Comment (4),Prediction Status (4),nibr:logD(pH=7.4),status (5),comment (5),FG Status (5),Details (5),FG Comment (5),Prediction Status (5),nibr:logP,status (6),comment (6),map:HLM_CLint (0.95 confidence interval),map:HLM_CLint,status (7),comment (7),map:RLM_CLint (0.95 confidence interval),map:RLM_CLint
1,124.7,3159.1,97.7,OC1=CC(C2=CC3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol tris-hydrochloride salt","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol", tris-hydrochloride salt,,OC1=CC(C2=CC3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,CN1CCC[C@H]1COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)cc2n1,496.2586743026,(M+H).,497.3,1.04132569740005,97.7,124.7,3159.1,CN1CCC[C@H]1CO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,[H][*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,86.64,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.9228498935699463, ""> 3"": 0.0771501362323761}}",,OK,0.922849893569946,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.4332564163686704, ""> -5"": 0.5667435836313297}}",,OK,0.43325641636867,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.000808537, '> 10uM': 0.99919146}}",0.000808537006378174,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.01307136317045,OK,correct SMILES,OK,{},,OK,3.99713417927819,OK,correct SMILES,1.27243447666,Inconclusive,OK,correct SMILES,0.770092627589,Inconclusive
2,2.7,721.4,2.4,OC1=CC(C2=C(F)C3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol"," bis(2,2,2-trifluoroacetate)",,OC1=CC(C2=C(F)C3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,CN1CCC[C@H]1COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,514.2492524705,(M+H).,515.2,0.950747529500063,2.4,2.7,721.4,CN1CCC[C@H]1CO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,86.64,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.9455074071884155, ""> 3"": 0.05449260398745537}}",,OK,0.945507407188416,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.4373635470542564, ""> -5"": 0.5626364529457436}}",,OK,0.437363547054256,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.0033912659, '> 10uM': 0.99660873}}",0.00339126586914063,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.20127879079356,OK,correct SMILES,OK,{},,OK,4.25778093983603,OK,correct SMILES,1.23185837422,Inconclusive,OK,correct SMILES,0.797666611075,Inconclusive
3,9.5,10283.1,8.3,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CN4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(1-methyl-1H-imidazol-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CN4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Cn1ccnc1CCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,525.2288513794,(M+H).,526.2,0.971148620600047,8.3,9.5,10283.1,Cn1ccnc1CCO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,101.22,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.7452348470687866, ""> 3"": 0.254765123128891}}",,OK,0.745234847068787,inconclusive,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5768341186762256, ""> -5"": 0.4231658813237744}}",,OK,0.576834118676226,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.052016854, '> 10uM': 0.94798315}}",0.0520168542861938,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.25257834880628,OK,correct SMILES,OK,{},,OK,3.96851842863389,OK,correct SMILES,1.25033515839,Inconclusive,OK,correct SMILES,0.777810292604,Inconclusive
4,496.2,8530,155.7,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=C4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=C4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Oc1cc(-c2ncc3c(N4C[C@@H]5CC[C@H](C4)N5)nc(OCCc4ccccn4)nc3c2F)c2ccccc2c1,522.2179523421,(M+H).,523.2,0.982047657900011,155.7,496.2,8530,c1ccc(CCO[*:1])nc1,C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,96.29,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.8969334363937378, ""> 3"": 0.1030665785074234}}",,OK,0.896933436393738,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.49110262955502904, ""> -5"": 0.508897370444971}}",,OK,0.491102629555029,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.16700846, '> 10uM': 0.83299154}}",0.167008459568024,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.60207210931366,OK,correct SMILES,OK,{},,OK,4.51285702330011,OK,correct SMILES,0.698968470086,Inconclusive,OK,correct SMILES,0.886139959893,Inconclusive
5,722.9,8193.8,294.8,OC1=CC(C2=C(F)C3=NC(OCC4=CC=NN4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-5-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-5-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-5-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCC4=CC=NN4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Cn1nccc1COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,511.2132013152,(M+H).,512.2,0.986798684800078,294.8,722.9,8193.8,Cn1nccc1CO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,101.22,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.7170138359069824, ""> 3"": 0.28298619389533997}}",,OK,0.717013835906982,inconclusive,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5605340562485366, ""> -5"": 0.4394659437514635}}",,OK,0.560534056248537,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.028783679, '> 10uM': 0.9712163}}",0.0287836790084839,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.32154345690245,OK,correct SMILES,OK,{},,OK,3.87395702121029,OK,correct SMILES,1.155650774,Inconclusive,OK,correct SMILES,0.501625398479,<30 uL/min/mg
6,434.1,11518.2,442.2,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=C4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(3-methylpyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(3-methylpyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(3-methylpyridin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=C4C)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Cc1cccnc1CCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,536.2336024063,(M+H).,537.2,0.966397593700094,442.2,434.1,11518.2,Cc1cccnc1CCO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,96.29,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.9330765008926392, ""> 3"": 0.06692346930503845}}",,OK,0.933076500892639,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5052536413669686, ""> -5"": 0.4947463586330314}}",,OK,0.505253641366969,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.08645868, '> 10uM': 0.9135413}}",0.086458683013916,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.85827772978182,OK,correct SMILES,OK,{},,OK,4.67358024828618,OK,correct SMILES,0.53932724239,Inconclusive,OK,correct SMILES,0.720192182373,Inconclusive
7,1867.3,,463.5,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=N4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyrimidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyrimidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(2-(pyrimidin-2-yl)ethoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCCC4=NC=CC=N4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Oc1cc(-c2ncc3c(N4C[C@@H]5CC[C@H](C4)N5)nc(OCCc4ncccn4)nc3c2F)c2ccccc2c1,523.2132013152,(M+H).,524.2,0.986798684800078,463.5,1867.3,,c1cnc(CCO[*:1])nc1,C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,109.18,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.7232301235198975, ""> 3"": 0.27676984667778015}}",,OK,0.723230123519897,inconclusive,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5692110803531941, ""> -5"": 0.4307889196468059}}",,OK,0.569211080353194,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.03764546, '> 10uM': 0.96235454}}",0.0376454591751099,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.26682937683487,OK,correct SMILES,OK,{},,OK,4.07285804769431,OK,correct SMILES,0.845145650667,Inconclusive,OK,correct SMILES,0.723668632679,Inconclusive
8,1522,,2143.7,OC1=CC(C2=C(F)C3=NC(OCC4=NN(C)C=C4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-3-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-3-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-pyrazol-3-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCC4=NN(C)C=C4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Cn1ccc(COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)n1,511.2132013152,(M+H).,512.2,0.986798684800078,2143.7,1522,,Cn1ccc(CO[*:1])n1,C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,101.22,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.8305561542510986, ""> 3"": 0.16944386065006256}}",,OK,0.830556154251099,inconclusive,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5321221948417343, ""> -5"": 0.4678778051582659}}",,OK,0.532122194841734,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.062113464, '> 10uM': 0.93788654}}",0.0621134638786316,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.24328474629061,OK,correct SMILES,OK,{},,OK,3.99149140337669,OK,correct SMILES,1.20090546914,<=25 uL/min/mg,OK,correct SMILES,0.51673475355,Inconclusive
9,820.7,,258.9,OC1=CC(C2=C(F)C3=NC(OCC4=CN(C)C=N4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-4-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-4-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((1-methyl-1H-imidazol-4-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OCC4=CN(C)C=N4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1,Cn1cnc(COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c3cnc(-c4cc(O)cc5ccccc45)c(F)c3n2)c1,511.2132013152,(M+H).,512.2,0.986798684800078,258.9,820.7,,Cn1cnc(CO[*:1])c1,C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,101.22,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.8881731033325195, ""> 3"": 0.11182691901922226}}",,OK,0.88817310333252,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.5295722679682402, ""> -5"": 0.4704277320317599}}",,OK,0.52957226796824,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.06649721, '> 10uM': 0.9335028}}",0.0664972066879272,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.12035269018747,OK,correct SMILES,OK,{},,OK,3.88052752829921,OK,correct SMILES,1.35450054777,<=25 uL/min/mg,OK,correct SMILES,0.601944621975,Inconclusive
14,73.9,4843.5,5.1,OC1=CC(C2=C(F)C3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1Br,,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-1-bromonaphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-1-bromonaphthalen-2-ol","4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-1-bromonaphthalen-2-ol",,,OC1=CC(C2=C(F)C3=NC(OC[C@H]4N(C)CCC4)=NC(N5C[C@@](N6)([H])CC[C@@]6([H])C5)=C3C=N2)=C7C=CC=CC7=C1Br,CN1CCC[C@H]1COc1nc(N2C[C@@H]3CC[C@H](C2)N3)c2cnc(-c3cc(O)c(Br)c4ccccc34)c(F)c2n1,592.1597650384,(M+H).,593.2,1.04023496160005,5.1,73.9,4843.5,CN1CCC[C@H]1CO[*:1],C1C[C@@H]2CN([*:2])C[C@H]1N2,F[*:3],Oc1cc([*:4])c2ccccc2c1Br,C1~N~C([*:4])~C([*:3])~C2~N~C([*:1])~N~C([*:2])~C~1~2,86.64,OK,correct SMILES,OK,"{""Probabilities"": {""<= 3"": 0.9709559679031372, ""> 3"": 0.0290440134704113}}",,OK,0.970955967903137,<= 1.5 cm-6/s,OK,correct SMILES,OK,"{""Probabilities"": {""<= -5"": 0.39802570781252294, ""> -5"": 0.6019742921874771}}",,OK,0.398025707812523,inconclusive,OK,correct SMILES,OK,"{'Probabilities': {'<= 10uM': 0.02396202, '> 10uM': 0.976038}}",0.0239620208740234,,OK,>100 uM,OK,correct SMILES,OK,{},,OK,2.70277735841839,OK,correct SMILES,OK,{},,OK,4.80148389960613,OK,correct SMILES,0.794630579057,Inconclusive,OK,correct SMILES,0.736565513497,Inconclusive
