Paper_Id,binding pKi,error_binding pKi,MM-PBSA,std_MM-PBSA
Formoterol XQA,7.44,0.12,-57.809733333333334,0.6706714115140311
Cmpd 1 C26,9.43,0.16,-66.42166666666667,1.0668191797217677
Cmpd 2,7.2,0.12,-67.07799999999999,1.8130859347164647
Cmpd 3,7.36,0.14,-68.36596666666667,2.1077578202651504
Cmpd 4,6.01,0.13,-56.0582,0.3669558284044567
Cmpd 5,7.93,0.18,-72.85860000000001,0.6736763367275571
Cmpd 6,6.86,0.15,-63.601333333333336,1.810632413151704
Cmpd 7,5.91,0.16,-56.633100000000006,4.305991607825853
Cmpd 8,4.33,0.22,-58.808699999999995,0.6777171140429212
Cmpd 9,7.92,0.22,-72.0674,3.395412469789202
Cmpd 10,9.03,0.09,-71.76963333333333,0.6395524337812762
Cmpd 11,7.99,0.21,-58.67386666666666,1.9788758161025537
Cmpd 12B,9.93,0.18,-87.69356666666665,0.5091463727543303
Cmpd 12A,7.91,0.15,-77.40593333333334,1.469976528913152
